Date,Symbol,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Avg Win,Avg Loss,Profit Factor,Trade Count
2025-04-21,GOOGL,-0.003164,-0.550066,0.017392,-32.7767,-0.008065,0.3333,9.7129,-6.3632,1.5264,45
2025-04-22,GOOGL,0.032033,52.134166,0.038472,1354.5878,-0.008065,0.3778,24.2886,-7.1198,3.4114,93
2025-04-23,GOOGL,0.024538,6.662555,0.035414,187.5685,-0.014546,0.3649,20.8382,-8.4902,2.4544,147
2025-04-24,GOOGL,0.064087,49.067369,0.056632,866.0765,-0.015945,0.3636,27.5787,-8.9776,3.072,195
2025-04-25,GOOGL,0.024958,2.464088,0.051304,47.6392,-0.045429,0.2993,26.2603,-9.4821,2.7695,260
2025-04-28,GOOGL,0.006317,0.302735,0.048027,5.887,-0.066168,0.2927,24.1503,-9.6302,2.5078,313
2025-04-29,GOOGL,0.004641,0.181385,0.045967,3.5109,-0.066168,0.2979,22.8092,-9.4422,2.4157,358
2025-04-30,GOOGL,0.001333,0.042865,0.043933,0.5205,-0.076084,0.3041,21.6231,-9.3923,2.3022,412
2025-05-01,GOOGL,-0.007165,-0.182371,0.042023,-4.8157,-0.076575,0.3117,20.1834,-9.4229,2.142,474
2025-05-02,GOOGL,-0.008542,-0.194415,0.040022,-5.3575,-0.078556,0.3105,19.2632,-8.9716,2.1471,535
2025-05-05,GOOGL,-0.01544,-0.29986,0.038897,-8.2233,-0.083052,0.3079,18.6542,-8.7932,2.1214,582
2025-05-06,GOOGL,-0.031493,-0.489312,0.037633,-13.5338,-0.098003,0.3,18.2317,-8.7225,2.0902,635
2025-05-07,GOOGL,-0.046427,-0.60209,0.037393,-16.6367,-0.11925,0.3053,17.6959,-9.0257,1.9606,689
2025-05-08,GOOGL,-0.044023,-0.555312,0.037687,-15.2657,-0.11925,0.3067,17.9368,-9.0259,1.9873,749
2025-05-09,GOOGL,-0.042613,-0.518861,0.036752,-14.662,-0.11925,0.3084,17.2932,-8.7025,1.9872,800
2025-05-12,GOOGL,-0.048358,-0.541901,0.036352,-15.4571,-0.120988,0.3044,17.2246,-8.5692,2.0101,866
2025-05-13,GOOGL,-0.040901,-0.461538,0.035906,-13.4111,-0.120988,0.3116,16.72,-8.4013,1.9902,918
2025-05-14,GOOGL,-0.028922,-0.336928,0.035912,-9.939,-0.120988,0.3109,17.1049,-8.2709,2.0681,979
2025-05-15,GOOGL,-0.020869,-0.244003,0.035629,-7.4097,-0.120988,0.3145,16.9693,-8.1676,2.0776,1024
2025-05-16,GOOGL,-0.029774,-0.316718,0.035177,-9.5721,-0.120988,0.3129,16.8407,-8.1905,2.0561,1074
2025-05-19,GOOGL,-0.018512,-0.20087,0.035021,-6.3069,-0.120988,0.319,16.6589,-8.1158,2.0527,1127
2025-05-20,GOOGL,-0.033231,-0.320987,0.03451,-9.8807,-0.120988,0.3191,16.3031,-8.1746,1.9944,1181
2025-05-21,GOOGL,-0.005767,-0.061404,0.035802,-2.2737,-0.120988,0.3187,17.044,-8.0608,2.1144,1231
2025-05-22,GOOGL,0.01731,0.197457,0.036927,4.8057,-0.120988,0.3167,17.9889,-8.0845,2.2251,1281
2025-05-23,GOOGL,0.000588,0.005947,0.036524,-0.3848,-0.120988,0.3108,17.937,-8.0803,2.2198,1340
2025-05-27,GOOGL,0.001013,0.009864,0.036056,-0.2811,-0.120988,0.3126,17.6697,-8.0213,2.2028,1397
2025-05-28,GOOGL,0.007504,0.072267,0.035588,1.4687,-0.120988,0.3187,17.2202,-7.9562,2.1644,1449
2025-05-29,GOOGL,-0.001082,-0.009697,0.035113,-0.8457,-0.120988,0.3154,17.0677,-7.8762,2.167,1504
2025-05-30,GOOGL,-0.000506,-0.004391,0.035079,-0.6953,-0.120988,0.3171,17.076,-7.9354,2.1519,1545
2025-06-02,GOOGL,-0.013738,-0.1097,0.034607,-3.7478,-0.120988,0.3157,16.7484,-7.8867,2.1236,1603
2025-06-03,GOOGL,-0.036344,-0.259882,0.034288,-8.1627,-0.120988,0.3116,16.5771,-7.9125,2.095,1655
2025-06-04,GOOGL,-0.033661,-0.236347,0.03379,-7.5864,-0.120988,0.3134,16.284,-7.8019,2.0872,1715
2025-06-05,GOOGL,-0.025541,-0.179281,0.033748,-5.9049,-0.120988,0.3164,16.3006,-7.8202,2.0844,1755
2025-06-06,GOOGL,-0.00811,-0.058568,0.033767,-2.3268,-0.120988,0.3197,16.4673,-7.8254,2.1043,1803
2025-06-09,GOOGL,0.000261,0.00188,0.033418,-0.5422,-0.120988,0.3219,16.2825,-7.7259,2.1075,1857
2025-06-10,GOOGL,0.011828,0.08579,0.033642,1.9556,-0.120988,0.3225,16.3731,-7.6748,2.1334,1901
2025-06-11,GOOGL,0.005738,0.03974,0.033394,0.5911,-0.120988,0.3198,16.3501,-7.6299,2.1429,1947
2025-06-12,GOOGL,-0.009104,-0.058848,0.033069,-2.3843,-0.120988,0.3159,16.2604,-7.5958,2.1407,1998
2025-06-13,GOOGL,-0.005253,-0.033458,0.033114,-1.6144,-0.120988,0.3151,16.2923,-7.5436,2.1598,2045
2025-06-16,GOOGL,-0.00547,-0.033967,0.032849,-1.6429,-0.120988,0.3161,16.1117,-7.497,2.1491,2094
2025-06-17,GOOGL,-0.005615,-0.034018,0.032608,-1.6566,-0.120988,0.3159,15.9899,-7.4326,2.1513,2135
2025-06-18,GOOGL,-0.010999,-0.064207,0.032291,-2.6078,-0.120988,0.316,15.7385,-7.3661,2.1366,2187
2025-06-20,GOOGL,-0.016048,-0.090453,0.032038,-3.4475,-0.120988,0.3172,15.5377,-7.3546,2.1126,2233
2025-06-23,GOOGL,-0.010788,-0.060229,0.032293,-2.4844,-0.120988,0.3168,15.813,-7.4212,2.1308,2288
2025-06-24,GOOGL,-0.035531,-0.183391,0.031833,-6.3893,-0.120988,0.3133,15.5866,-7.3906,2.109,2369
2025-06-25,GOOGL,-0.028698,-0.147442,0.031655,-5.2896,-0.120988,0.3158,15.4986,-7.3762,2.1012,2419
2025-06-26,GOOGL,-0.014701,-0.076338,0.03159,-3.0496,-0.120988,0.3203,15.4346,-7.3857,2.0898,2464
2025-06-27,GOOGL,0.000137,0.000721,0.032591,-0.5916,-0.120988,0.3181,15.6564,-7.303,2.1438,2532
2025-06-30,GOOGL,-0.003394,-0.017334,0.032336,-1.1546,-0.120988,0.3172,15.6189,-7.2817,2.1449,2596
2025-07-01,GOOGL,0.000771,0.003892,0.032184,-0.5005,-0.120988,0.3184,15.5886,-7.2781,2.1419,2637
2025-07-02,GOOGL,0.000883,0.004371,0.031941,-0.4893,-0.120988,0.3182,15.4868,-7.2231,2.1441,2689
2025-07-03,GOOGL,-0.005624,-0.026962,0.031771,-1.4781,-0.120988,0.3182,15.3758,-7.2154,2.131,2727
2025-07-07,GOOGL,-0.024485,-0.111185,0.031513,-4.1629,-0.120988,0.3169,15.195,-7.2156,2.1059,2787
2025-07-08,GOOGL,-0.028973,-0.128209,0.031294,-4.736,-0.120988,0.3161,15.0788,-7.1618,2.1054,2840
2025-07-09,GOOGL,-0.004432,-0.020145,0.031593,-1.2707,-0.120988,0.3179,15.1998,-7.1133,2.1368,2882
2025-07-10,GOOGL,-0.011018,-0.048633,0.031397,-2.186,-0.120988,0.3177,15.0774,-7.0916,2.1261,2929
2025-07-11,GOOGL,-0.005161,-0.022615,0.031348,-1.3594,-0.120988,0.3181,15.1058,-7.0803,2.1335,2969
2025-07-14,GOOGL,-0.018488,-0.077881,0.03123,-3.1342,-0.120988,0.3186,14.9888,-7.1239,2.104,3020
2025-07-15,GOOGL,-0.020524,-0.084766,0.031056,-3.3735,-0.120988,0.3196,14.8605,-7.1089,2.0904,3064
2025-07-16,GOOGL,-0.028994,-0.116244,0.030941,-4.4034,-0.120988,0.3182,14.8835,-7.1233,2.0894,3123
2025-07-17,GOOGL,-0.037194,-0.14494,0.030784,-5.358,-0.120988,0.3175,14.8329,-7.1208,2.083,3181
2025-07-18,GOOGL,-0.038307,-0.146799,0.030637,-5.4443,-0.120988,0.3197,14.6908,-7.1294,2.0606,3227
2025-04-21,AMZN,-0.01223,-0.954989,0.020467,-47.6377,-0.014547,0.25,11.778,-8.4555,1.3929,49
2025-04-22,AMZN,0.06751,3756.229707,0.065008,57780.3132,-0.014547,0.38,37.2364,-8.304,4.4841,99
2025-04-23,AMZN,0.062281,158.995904,0.056019,2837.8852,-0.023839,0.3571,32.0531,-10.1183,3.1678,167
2025-04-24,AMZN,0.082249,144.418401,0.054132,2667.5299,-0.027897,0.3982,29.5708,-11.5053,2.5702,222
2025-04-25,AMZN,0.063325,21.078612,0.049197,428.0458,-0.02946,0.3472,28.8449,-10.8519,2.6581,287
2025-04-28,AMZN,0.055657,8.726462,0.045921,189.5966,-0.036558,0.343,26.4514,-10.5273,2.5126,343
2025-04-29,AMZN,0.054801,5.825473,0.043768,132.6421,-0.036558,0.3384,25.4616,-10.2335,2.4881,393
2025-04-30,AMZN,0.087593,13.083081,0.052204,250.2315,-0.040375,0.3393,27.7201,-10.289,2.6941,441
2025-05-01,AMZN,0.062071,4.398777,0.054909,79.7462,-0.040375,0.3386,27.7423,-11.7383,2.3634,496
2025-05-02,AMZN,0.080231,5.99235,0.053494,111.645,-0.040375,0.3521,26.9434,-11.7362,2.2957,556
2025-05-05,AMZN,0.061094,2.890406,0.051866,55.3432,-0.040375,0.3419,25.9594,-11.4922,2.2589,604
2025-05-06,AMZN,0.056533,2.173563,0.050524,42.6242,-0.040375,0.3433,25.1951,-11.457,2.1991,655
2025-05-07,AMZN,0.047532,1.459985,0.049682,28.9842,-0.044562,0.3324,25.3903,-11.35,2.237,713
2025-05-08,AMZN,0.061685,1.937126,0.049008,39.1185,-0.044562,0.3291,25.4181,-10.9308,2.3254,773
2025-05-09,AMZN,0.054114,1.42387,0.047543,29.5282,-0.044562,0.3294,24.1349,-10.6002,2.2768,828
2025-05-12,AMZN,0.074399,2.096405,0.047299,43.8999,-0.044562,0.3442,23.5181,-10.6972,2.1985,888
2025-05-13,AMZN,0.087265,2.456355,0.046675,52.1986,-0.044562,0.3485,23.1123,-10.5131,2.1984,933
2025-05-14,AMZN,0.080072,1.939931,0.045314,42.369,-0.044562,0.3476,22.0741,-10.171,2.1703,994
2025-05-15,AMZN,0.063,1.248614,0.044467,27.6299,-0.044562,0.342,21.7607,-10.1284,2.1485,1045
2025-05-16,AMZN,0.049259,0.83282,0.0435,18.6856,-0.044562,0.3374,21.2788,-9.9659,2.1352,1104
2025-05-19,AMZN,0.061548,1.047745,0.043425,23.667,-0.046505,0.3384,21.1006,-9.7519,2.1637,1158
2025-05-20,AMZN,0.048043,0.711717,0.042657,16.2156,-0.046505,0.3317,20.8856,-9.5955,2.1766,1205
2025-05-21,AMZN,0.046778,0.65021,0.042051,14.9869,-0.047309,0.3318,20.5084,-9.4593,2.1681,1249
2025-05-22,AMZN,0.066542,0.966835,0.041598,22.7617,-0.047309,0.3348,20.4804,-9.3123,2.1993,1297
2025-05-23,AMZN,0.070766,0.992142,0.041432,23.4635,-0.047309,0.3314,20.7118,-9.2499,2.2391,1348
2025-05-27,AMZN,0.066981,0.874577,0.040774,20.959,-0.047309,0.3278,20.6191,-9.1313,2.2581,1405
2025-05-28,AMZN,0.085839,1.156809,0.041364,27.4828,-0.047309,0.3262,20.8904,-8.9723,2.3283,1453
2025-05-29,AMZN,0.068326,0.812732,0.040869,19.3967,-0.047309,0.3234,20.7113,-9.0242,2.2951,1502
2025-05-30,AMZN,0.06271,0.696431,0.040493,16.705,-0.047309,0.3232,20.5146,-9.018,2.2748,1548
2025-06-02,AMZN,0.072418,0.799107,0.039993,19.4812,-0.047309,0.3248,20.3409,-8.9112,2.2826,1600
2025-06-03,AMZN,0.064146,0.657659,0.039675,16.0719,-0.047309,0.3215,20.2052,-8.8251,2.2895,1644
2025-06-04,AMZN,0.060709,0.590635,0.039211,14.5531,-0.047309,0.3233,19.7988,-8.7695,2.2577,1690
2025-06-05,AMZN,0.060192,0.562597,0.039249,13.8244,-0.047309,0.3229,19.9385,-8.8427,2.2548,1741
2025-06-06,AMZN,0.083544,0.81248,0.039031,20.3038,-0.047309,0.3293,19.7512,-8.7898,2.2471,1783
2025-06-09,AMZN,0.0904,0.864744,0.038542,21.9177,-0.047309,0.3344,19.2781,-8.724,2.2098,1838
2025-06-10,AMZN,0.083363,0.751531,0.038125,19.1875,-0.047309,0.334,19.0264,-8.6824,2.1914,1891
2025-06-11,AMZN,0.065864,0.544085,0.037714,13.8964,-0.047309,0.3313,18.7705,-8.6414,2.1722,1940
2025-06-12,AMZN,0.06448,0.513436,0.037256,13.2444,-0.047309,0.3298,18.6066,-8.5286,2.1817,1998
2025-06-13,AMZN,0.080906,0.653183,0.037282,16.9838,-0.047309,0.3317,18.641,-8.4846,2.197,2042
2025-06-16,AMZN,0.089677,0.717818,0.037105,18.8065,-0.047309,0.3305,18.7358,-8.4165,2.2261,2086
2025-06-17,AMZN,0.096051,0.75717,0.036852,20.0034,-0.047309,0.3327,18.4904,-8.3452,2.2157,2137
2025-06-18,AMZN,0.091342,0.689523,0.036679,18.2538,-0.047309,0.3333,18.3539,-8.3606,2.1953,2180
2025-06-20,AMZN,0.094339,0.696086,0.036366,18.5914,-0.047309,0.3371,17.9658,-8.3116,2.1615,2235
2025-06-23,AMZN,0.097942,0.707695,0.03612,19.0392,-0.047309,0.3379,17.9109,-8.3003,2.1578,2284
2025-06-24,AMZN,0.097903,0.687169,0.035714,18.6808,-0.047309,0.3419,17.492,-8.2648,2.1164,2345
2025-06-25,AMZN,0.096967,0.660319,0.035454,18.0605,-0.047309,0.3442,17.1937,-8.2214,2.0913,2387
2025-06-26,AMZN,0.111971,0.766603,0.035319,21.139,-0.047309,0.3492,17.0154,-8.2206,2.0699,2450
2025-06-27,AMZN,0.111654,0.743173,0.035057,20.6286,-0.047309,0.3472,16.9864,-8.1571,2.0824,2525
2025-06-30,AMZN,0.095844,0.601111,0.034933,16.6352,-0.047309,0.3454,16.9488,-8.2075,2.065,2577
2025-07-01,AMZN,0.082836,0.493465,0.034616,13.6775,-0.047309,0.3448,16.7293,-8.1865,2.0435,2640
2025-07-02,AMZN,0.075912,0.435538,0.034297,12.116,-0.047309,0.3451,16.5098,-8.1431,2.0274,2694
2025-07-03,AMZN,0.081011,0.458633,0.03409,12.8671,-0.047309,0.3454,16.4252,-8.0812,2.0325,2740
2025-07-07,AMZN,0.079189,0.436714,0.033836,12.3155,-0.047309,0.3463,16.2488,-8.0466,2.0193,2791
2025-07-08,AMZN,0.076034,0.407739,0.033599,11.5403,-0.047309,0.3461,16.1072,-7.9951,2.0146,2841
2025-07-09,AMZN,0.087541,0.46888,0.03344,13.4236,-0.047309,0.3465,16.0803,-7.9279,2.0283,2893
2025-07-10,AMZN,0.08096,0.419524,0.033145,12.054,-0.047309,0.3482,15.7379,-7.8643,2.0012,2950
2025-07-11,AMZN,0.09102,0.469808,0.032919,13.6639,-0.047309,0.3479,15.6737,-7.7639,2.0188,3008
2025-07-14,AMZN,0.090505,0.457091,0.032694,13.3692,-0.047309,0.349,15.4622,-7.7007,2.0079,3054
2025-07-15,AMZN,0.086228,0.42372,0.032491,12.4255,-0.047309,0.3489,15.3769,-7.6901,1.9996,3106
2025-07-16,AMZN,0.068657,0.321662,0.032234,9.3584,-0.047333,0.3476,15.2318,-7.6865,1.9816,3171
2025-07-17,AMZN,0.063214,0.288171,0.031982,8.385,-0.052761,0.3465,15.1004,-7.6209,1.9815,3227
2025-07-18,AMZN,0.059759,0.266061,0.031799,7.738,-0.057808,0.3438,15.0971,-7.5501,1.9996,3279
2025-04-21,MSFT,-0.023308,-0.997376,0.038014,-26.763,-0.027365,0.3,5.8626,-13.6115,0.4307,39
2025-04-22,MSFT,-0.00785,-0.62956,0.046158,-14.0725,-0.030539,0.4186,18.1721,-15.1774,1.1973,85
2025-04-23,MSFT,-0.005129,-0.350762,0.041909,-8.8468,-0.030539,0.4262,17.8997,-14.2739,1.254,121
2025-04-24,MSFT,0.000408,0.026061,0.042569,0.1424,-0.030539,0.4337,18.2189,-13.8969,1.311,164
2025-04-25,MSFT,-0.0105,-0.412579,0.038423,-11.2584,-0.030539,0.4112,16.4762,-12.6183,1.3057,213
2025-04-28,MSFT,-0.01724,-0.518281,0.036672,-14.6781,-0.031886,0.384,16.5498,-11.8094,1.4014,251
2025-04-29,MSFT,-0.015508,-0.430313,0.034763,-12.9537,-0.031886,0.3741,16.2179,-10.8193,1.499,297
2025-04-30,MSFT,0.050421,3.70924,0.068089,54.1827,-0.040472,0.3626,24.7576,-10.9984,2.251,344
2025-05-01,MSFT,0.045482,2.474303,0.064356,38.1362,-0.040472,0.355,23.3891,-10.5226,2.2228,394
2025-05-02,MSFT,0.05278,2.655219,0.062256,42.3285,-0.040472,0.3543,23.157,-10.2606,2.2569,436
2025-05-05,MSFT,0.06253,3.012852,0.060584,49.4001,-0.040472,0.3598,22.8721,-10.1316,2.2575,468
2025-05-06,MSFT,0.05368,1.998359,0.057557,34.3724,-0.040472,0.3444,22.2818,-9.6855,2.3005,526
2025-05-07,MSFT,0.04524,1.357733,0.055649,24.0389,-0.040472,0.3322,22.1878,-9.4737,2.342,567
2025-05-08,MSFT,0.059266,1.818977,0.054355,33.0967,-0.040472,0.3365,21.8332,-9.1661,2.382,610
2025-05-09,MSFT,0.050951,1.304536,0.0527,24.3745,-0.040472,0.3243,21.5303,-8.8249,2.4397,651
2025-05-12,MSFT,0.067815,1.810682,0.052586,34.0524,-0.040472,0.3249,22.2676,-8.8229,2.5238,693
2025-05-13,MSFT,0.066689,1.603871,0.05136,30.8386,-0.040472,0.3262,21.668,-8.7258,2.4832,732
2025-05-14,MSFT,0.079838,1.93104,0.05066,37.7227,-0.040472,0.3325,21.3553,-8.5975,2.4839,765
2025-05-15,MSFT,0.066028,1.335073,0.049562,26.5341,-0.040472,0.3301,20.6955,-8.6029,2.4056,807
2025-05-16,MSFT,0.057752,1.028777,0.048654,20.7339,-0.040472,0.3349,19.9665,-8.7069,2.2932,844
2025-05-19,MSFT,0.067526,1.190492,0.047965,24.4031,-0.040472,0.3348,19.9101,-8.5208,2.3366,887
2025-05-20,MSFT,0.062832,1.009748,0.04709,21.0182,-0.040472,0.3376,19.2536,-8.4694,2.2733,925
2025-05-21,MSFT,0.057982,0.854375,0.046441,17.9663,-0.040472,0.3402,18.8908,-8.5383,2.2125,959
2025-05-22,MSFT,0.065521,0.947163,0.046041,20.1377,-0.040472,0.3433,18.7483,-8.4793,2.2111,987
2025-05-23,MSFT,0.055334,0.720962,0.045179,15.5151,-0.040472,0.3371,18.5289,-8.3641,2.2153,1029
2025-05-27,MSFT,0.04723,0.564067,0.044935,12.1079,-0.040472,0.3309,18.5223,-8.31,2.2289,1079
2025-05-28,MSFT,0.033036,0.354388,0.044112,7.5804,-0.04731,0.327,18.2748,-8.3128,2.1984,1129
2025-05-29,MSFT,0.02757,0.27733,0.0434,5.9293,-0.049479,0.3295,17.6908,-8.2357,2.1481,1170
2025-05-30,MSFT,0.023238,0.220942,0.042817,4.6931,-0.053965,0.3317,17.2193,-8.1741,2.1066,1206
2025-06-02,MSFT,0.020102,0.18197,0.042249,3.8337,-0.058123,0.3365,16.6981,-8.1511,2.0486,1242
2025-06-03,MSFT,0.01395,0.119201,0.04166,2.3812,-0.062053,0.3364,16.322,-8.0605,2.0249,1281
2025-06-04,MSFT,0.013193,0.108729,0.041157,2.1559,-0.06538,0.3353,16.1016,-7.9275,2.0311,1318
2025-06-05,MSFT,0.00047,0.003591,0.040586,-0.4043,-0.074523,0.3305,15.9756,-7.8791,2.0276,1362
2025-06-06,MSFT,0.002772,0.020732,0.040278,0.0182,-0.074523,0.3319,15.8109,-7.8173,2.0225,1388
2025-06-09,MSFT,0.001067,0.007709,0.039684,-0.3097,-0.074523,0.3374,15.2625,-7.7571,1.9675,1432
2025-06-10,MSFT,-0.006047,-0.04157,0.039206,-1.5704,-0.081617,0.3329,15.1879,-7.6585,1.9831,1473
2025-06-11,MSFT,0.001936,0.01326,0.039219,-0.1719,-0.084436,0.3346,15.3458,-7.6925,1.9949,1498
2025-06-12,MSFT,0.007679,0.05204,0.038756,0.8267,-0.084436,0.3338,15.2644,-7.5502,2.0217,1540
2025-06-13,MSFT,0.010329,0.068656,0.038376,1.2679,-0.084436,0.3341,15.1799,-7.4913,2.0263,1580
2025-06-16,MSFT,0.001992,0.012618,0.038033,-0.1941,-0.084436,0.3325,15.0368,-7.4677,2.0136,1616
2025-06-17,MSFT,0.002005,0.012386,0.037681,-0.2021,-0.084436,0.3314,14.9693,-7.3957,2.0241,1651
2025-06-18,MSFT,0.000122,0.000734,0.037326,-0.5161,-0.084436,0.3318,14.7702,-7.3329,2.0142,1685
2025-06-20,MSFT,-0.005689,-0.032882,0.037011,-1.4288,-0.084436,0.3296,14.7245,-7.3024,2.0164,1721
2025-06-23,MSFT,0.005408,0.031373,0.037002,0.3074,-0.084436,0.3297,14.9379,-7.2868,2.05,1756
2025-06-24,MSFT,0.007229,0.041162,0.036671,0.5771,-0.084436,0.3269,14.91,-7.1627,2.0816,1792
2025-06-25,MSFT,-0.002883,-0.015693,0.03636,-0.9817,-0.084436,0.3267,14.7087,-7.1657,2.0526,1834
2025-06-26,MSFT,-0.010895,-0.057045,0.036181,-2.1295,-0.090193,0.3251,14.6707,-7.1772,2.0441,1872
2025-06-27,MSFT,-0.02182,-0.109366,0.035722,-3.6215,-0.095141,0.3207,14.5535,-7.084,2.0544,1930
2025-06-30,MSFT,-0.028935,-0.140155,0.035343,-4.5315,-0.101771,0.322,14.3097,-7.0721,2.0234,1979
2025-07-01,MSFT,-0.036459,-0.17071,0.035011,-5.4472,-0.108728,0.3212,14.1384,-7.0332,2.0102,2021
2025-07-02,MSFT,-0.036018,-0.165779,0.034773,-5.3427,-0.110042,0.322,14.0187,-6.9924,2.0049,2053
2025-07-03,MSFT,-0.030063,-0.137502,0.034698,-4.5392,-0.110042,0.3216,14.1026,-6.9588,2.0266,2078
2025-07-07,MSFT,-0.031534,-0.141313,0.034462,-4.6808,-0.110042,0.3205,14.0058,-6.8901,2.0327,2111
2025-07-08,MSFT,-0.040012,-0.173504,0.034188,-5.66,-0.112217,0.3196,13.8479,-6.8556,2.0199,2149
2025-07-09,MSFT,-0.032472,-0.140369,0.034046,-4.7104,-0.113452,0.3198,13.9015,-6.817,2.0392,2190
2025-07-10,MSFT,-0.038572,-0.162228,0.033736,-5.4016,-0.113452,0.3209,13.6417,-6.7748,2.0136,2233
2025-07-11,MSFT,-0.042467,-0.174571,0.033485,-5.8106,-0.116329,0.3214,13.4819,-6.7409,2.0,2272
2025-07-14,MSFT,-0.047634,-0.191077,0.033252,-6.3478,-0.11902,0.3208,13.3775,-6.7092,1.9939,2308
2025-07-15,MSFT,-0.046224,-0.183021,0.03304,-6.1446,-0.121002,0.321,13.3089,-6.665,1.9968,2347
2025-07-16,MSFT,-0.047502,-0.184867,0.032893,-6.2283,-0.121002,0.3211,13.2466,-6.6456,1.9933,2374
2025-07-17,MSFT,-0.051792,-0.19724,0.032718,-6.6398,-0.125416,0.3208,13.1815,-6.6326,1.9874,2413
2025-07-18,MSFT,-0.057923,-0.215353,0.032523,-7.2365,-0.130036,0.3197,13.1131,-6.6089,1.9842,2452
2025-04-21,BAC,-0.009749,-0.91531,0.02577,-36.2943,-0.012335,0.4118,11.0711,-14.249,0.777,35
2025-04-22,BAC,0.0415,166.91036,0.053628,3111.9859,-0.012335,0.5517,28.633,-13.9585,2.0513,61
2025-04-23,BAC,0.035155,17.215688,0.045433,378.4833,-0.016843,0.4681,25.2831,-12.8745,1.9638,99
2025-04-24,BAC,0.036697,8.684174,0.043145,200.8143,-0.029176,0.4531,24.1154,-12.9915,1.8562,135
2025-04-25,BAC,0.03332,4.217158,0.039482,106.3043,-0.029176,0.439,21.4079,-11.925,1.7952,171
2025-04-28,BAC,0.031213,2.636104,0.037771,69.2621,-0.029176,0.4059,20.8888,-10.8058,1.9331,202
2025-04-29,BAC,0.024232,1.367738,0.036171,37.2605,-0.029176,0.3793,20.7084,-10.4115,1.989,232
2025-04-30,BAC,0.020649,0.903721,0.036247,24.3804,-0.0437,0.3864,20.4178,-11.1562,1.8302,265
2025-05-01,BAC,0.004722,0.141001,0.03517,3.4404,-0.045747,0.3758,19.2456,-11.2502,1.7107,298
2025-05-02,BAC,0.000912,0.023229,0.033816,0.0955,-0.049366,0.3669,18.5933,-10.7169,1.735,337
2025-05-05,BAC,-0.009422,-0.194974,0.033841,-6.3525,-0.06112,0.3548,18.5735,-10.7389,1.7296,371
2025-05-06,BAC,-0.009332,-0.178729,0.033581,-5.9179,-0.071884,0.3529,18.6932,-10.6676,1.7523,405
2025-05-07,BAC,-0.032942,-0.477603,0.03284,-15.1525,-0.081519,0.3482,17.6932,-10.9567,1.6148,447
